Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 109.0.0.0,,,2023-01-23 14:55:56,2023-01-23 14:58:48,"2m - 52,782s",PASSED
,,,,,,,
Test Cases/CompaniesCompetitors/EjemploValidacion,Chrome 109.0.0.0,"Verificar la funcion de busqueda de la caja input ""search competitor""",,2023-01-23 14:55:56,2023-01-23 14:56:58,"1m - 1,833s",PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-23 14:55:56,2023-01-23 14:56:00,"3,684s",PASSED
"navigateToUrl(""https://mip.eassets.emeal.nttdata.com"")",Chrome 109.0.0.0,,,2023-01-23 14:56:00,2023-01-23 14:56:17,"17,278s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/button_Continue""))",Chrome 109.0.0.0,,,2023-01-23 14:56:17,2023-01-23 14:56:18,"0,556s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/span_Privacy policy_mat-checkbox-inner-container""))",Chrome 109.0.0.0,,,2023-01-23 14:56:18,2023-01-23 14:56:18,"0,519s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/span_Terms of use_mat-checkbox-inner-container""))",Chrome 109.0.0.0,,,2023-01-23 14:56:18,2023-01-23 14:56:19,"0,851s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/button_Continue""))",Chrome 109.0.0.0,,,2023-01-23 14:56:19,2023-01-23 14:56:20,"0,851s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/mat-icon_close""))",Chrome 109.0.0.0,,,2023-01-23 14:56:20,2023-01-23 14:56:21,"0,493s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/button_Continue""))",Chrome 109.0.0.0,,,2023-01-23 14:56:21,2023-01-23 14:56:21,"0,509s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/mat-icon_navigate_before""))",Chrome 109.0.0.0,,,2023-01-23 14:56:21,2023-01-23 14:56:22,"0,503s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/a_apartmentCompaniesexpand_more""))",Chrome 109.0.0.0,,,2023-01-23 14:56:22,2023-01-23 14:56:22,"0,532s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/label_Competitors""))",Chrome 109.0.0.0,,,2023-01-23 14:56:22,2023-01-23 14:56:23,"0,574s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/td_61.594.305.000""))",Chrome 109.0.0.0,,,2023-01-23 14:56:23,2023-01-23 14:56:26,"3,598s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/span_Accenture""))",Chrome 109.0.0.0,,,2023-01-23 14:56:26,2023-01-23 14:56:27,"0,580s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/td_61.594.305.000""))",Chrome 109.0.0.0,,,2023-01-23 14:56:27,2023-01-23 14:56:36,"9,504s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/a_Accenture to acquire SKS Group""))",Chrome 109.0.0.0,,,2023-01-23 14:56:36,2023-01-23 14:56:37,"0,664s",PASSED
delay(15),Chrome 109.0.0.0,"link de la noticia
",,2023-01-23 14:56:37,2023-01-23 14:56:52,"15,055s",PASSED
"verifyTextPresent(""Accenture to acquire SKS Group"", false)",Chrome 109.0.0.0,"verificar que el titulo este visible
",,2023-01-23 14:56:52,2023-01-23 14:56:54,"2,153s",PASSED
"switchToWindowTitle(""Accenture to acquire SKS Group"")",Chrome 109.0.0.0,"Se cambia de ventana a a de UptoDate
",,2023-01-23 14:56:54,2023-01-23 14:56:54,"0,122s",PASSED
